"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"1400000US22097960200","Census Tract 9602, St. Landry Parish, Louisiana","4076","452","2686","360","1254","320","0","13","9","15","0","13","114","178","13","16","0","13","13","16"
"1400000US22097960300","Census Tract 9603, St. Landry Parish, Louisiana","3634","440","2213","320","1287","353","49","51","0","13","0","13","63","86","22","24","0","13","22","24"
"1400000US22097960400","Census Tract 9604, St. Landry Parish, Louisiana","1822","252","1806","246","0","13","0","13","16","24","0","13","0","13","0","13","0","13","0","13"
"1400000US22097960500","Census Tract 9605, St. Landry Parish, Louisiana","5485","640","4741","547","574","422","0","18","3","5","0","18","39","71","128","75","0","18","128","75"
"1400000US22097960600","Census Tract 9606, St. Landry Parish, Louisiana","5628","624","2493","522","3135","532","0","18","0","18","0","18","0","18","0","18","0","18","0","18"
"1400000US22097960700","Census Tract 9607, St. Landry Parish, Louisiana","6134","856","3352","587","2661","793","0","18","0","18","0","18","112","151","9","15","9","15","0","18"
"1400000US22097960800","Census Tract 9608, St. Landry Parish, Louisiana","3284","555","2743","498","481","182","0","13","0","13","0","13","7","13","53","76","0","13","53","76"
"1400000US22097960900","Census Tract 9609, St. Landry Parish, Louisiana","4150","432","1874","446","2047","392","0","13","0","13","0","13","0","13","229","215","0","13","229","215"
"1400000US22097961000","Census Tract 9610, St. Landry Parish, Louisiana","2099","327","1698","334","376","196","7","13","0","13","0","13","0","13","18","22","0","13","18","22"
"1400000US22097961100","Census Tract 9611, St. Landry Parish, Louisiana","3017","390","2082","369","920","281","0","13","0","13","0","13","0","13","15","27","0","13","15","27"
"1400000US22097961200","Census Tract 9612, St. Landry Parish, Louisiana","4831","753","2563","620","2223","461","0","13","0","13","0","13","0","13","45","77","0","13","45","77"
